gaul,normal,,kata normal,normal,,bahasa lain,normal,,pemisah,normal,,singkatan,normal
adain,adakan,,aaaamiinnnn,amin,,abdjan,abdjan,,1trilyun,1 trilyun,,almet,almamater
ajuin,ajukan,,aamiiin,amin,,abjan,abdjan,,2019dengan,2019 dengan,,brg,barang
aktifin,aktifkan,,aamiin,amin,,akhirna,akhirnya,,22apakah,22 apakah,,bth,butuh
acuu,aku,,aamiinnn,amin,,brimo,brimo,,3nya,3 nya,,caketum,calon ketua
akohh,aku,,aamin,amin,,cancel,cancel,,3thn,3 tahun,,dakom,dakwah komunikasi
antri,antri,,aammiinn,amin,,cancle,cancel,,30spki,30s pki,,dtr,datar
bacain,bacakan,,aammin,amin,,covid,covid,,aanya,aa nya,,dimana2,dimana dimana
bagiin,bagikan,,adaaaa,ada,,diboking,dibooking,,aangibu,aang ibu,,dospem,dosen pembimbing
bales,balas,,adikkk,adik,,dibooking,dibooking,,abangku,abang ku,,gara2,gara gara
bgtjadi,banget jadi,,agamaan,keagamaan,,disearching,dicari,,adikadik,adik adik,,grgr,gara gara
bangunin,bangunkan,,akkku,aku,,eligible,eligible,,adik2ku,adik adik ku,,bumil,ibu hamil
babehnya,bapak nya,,akmalia,akmalia,,endors,endorse,,adminnim,admin nim,,jaga2,jaga jaga
barengi,barengi,,akuu,aku,,endorse,endorse,,adminnya,admin nya,,jamber,jam berapa
beneran,beneran,,akuuu,aku,,gajian,gajian,,afwanjika,afwan jika,,linjur,lintas jurusan
barengan,berbarengan,,akuuuu,aku,,haflah,haflah,,akadnya,akad nya,,manusia2,manusia manusia
ngaruh,berpengaruh,,amann,aman,,homesick,homesick,,akangnya,akang nya,,matkul,mata kuliah
temenan,berteman,,amiiin,amin,,infona,informasi nya,,ktnya,aktanya,,mntvv,mnc tv
benerin,betulkan,,amiin,amin,,inframe,inframe,,akuumohon,aku mohon,,murmer,murah meriah
bikinnya,bikin nya,,aminn,amin,,insecure,insecure,,akunya,aku nya,,nopri,nomor pribadi
boseenn,bosan,,aminnn,amin,,instagramable,instagramable,,alhamdulillahbuat,alhamdulillah buat,,pdss,pdss
cantumin,cantumkan,,aminnnn,amin,,iqomah,iqomah,,alhamdulillahterimakasih,alhamdulillah terimakasih,,pendmtk,pendidikan matematika
capekk,capek,,amminnnnnn,amin,,jumatan,jumatan,,allahkamu,allah kamu,,penmat,pendidikan matematika
catet,catat,,ampuunn,ampun,,kagiatan,kegiatan,,allahsudah,allah sudah,,ptki,ptkin
cepet,cepat,,angtan,angkatan,,kamana,kemana,,almetnya,almamater nya,,qris,qris
